X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO,LINK_DETALLE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5765300002623,6.22679000026005,41,Cr 50 Cl 25,Postobón,https://www.medellin.gov.co/simm/camaras-cctv/imagen51.jpg,https://www.medellin.gov.co/simm/,834089.8387,1180549.327,-75.57653,6.22679
-75.5801970002748,6.20101600072857,42,Cr 50 Cl 7 Sur,Colcafé,https://www.medellin.gov.co/simm/camaras-cctv/imagen52.jpg,https://www.medellin.gov.co/simm/,833683.8439,1177698.3798,-75.580197,6.201016
-75.5804250004101,6.19496900101756,43,Cl 12 Sur Cr 48B,Deprimido Glorieta Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen53.jpg,https://www.medellin.gov.co/simm/,833658.585,1177029.4995,-75.580425,6.194969
-75.5776069998662,6.24704699975459,44,Cr 59 Cl 44,Barrio Triste,https://www.medellin.gov.co/simm/camaras-cctv/imagen55.jpg,https://www.medellin.gov.co/simm/,833970.6761,1182790.0315,-75.577607,6.247047
-75.5775570004255,6.25272100043792,45,Cr 62 Cl 49,Bomberos Liberta,https://www.medellin.gov.co/simm/camaras-cctv/imagen56.jpg,https://www.medellin.gov.co/simm/,833976.2256,1183417.6536,-75.577557,6.252721
-75.5867099998645,6.20536799989588,46,Cr 52 Cl 3 Sur,Cristo Rey,https://www.medellin.gov.co/simm/camaras-cctv/imagen57.jpg,https://www.medellin.gov.co/simm/,832962.8832,1178179.7959,-75.58671,6.205368
-75.5671430000772,6.29636000091742,47,Cr 64C Cl 102E,Belalcázar,https://www.medellin.gov.co/simm/camaras-cctv/imagen58.jpg,https://www.medellin.gov.co/simm/,835128.9498,1188244.7088,-75.567143,6.29636
-75.5695729998966,6.29132700096668,48,Cr 65 Cl 97,EPS Sura Castilla,https://www.medellin.gov.co/simm/camaras-cctv/imagen59.jpg,https://www.medellin.gov.co/simm/,834859.9957,1187687.9918,-75.569573,6.291327
-75.5834750006214,6.27343299929483,51,Cr 72B Cl 73 ,Pilarica,https://www.medellin.gov.co/simm/camaras-cctv/imagen62.jpg,https://www.medellin.gov.co/simm/,833321.2559,1185708.7039,-75.583475,6.273433
-75.5750950004468,6.26272399971724,52,Cr 64C Cl 58,Universidad Nacional,https://www.medellin.gov.co/simm/camaras-cctv/imagen63.jpg,https://www.medellin.gov.co/simm/,834248.7606,1184524.1165,-75.575095,6.262724
-75.5668259998103,6.23304799893615,54,Cr 42 Cl 31A,Angus Brangus,https://www.medellin.gov.co/simm/camaras-cctv/imagen65.jpg,https://www.medellin.gov.co/simm/,835164.0091,1181241.5336,-75.566826,6.233048
-75.5538799994772,6.21705899995166,55,Cr 22 Cl 16 ,Chuscalito,https://www.medellin.gov.co/simm/camaras-cctv/imagen66.jpg,https://www.medellin.gov.co/simm/,836597.0645,1179472.9435,-75.55388,6.217059
-75.5699909997775,6.21437199987773,56,Cr 43A Cl 14,Castropol,https://www.medellin.gov.co/simm/camaras-cctv/imagen67.jpg,https://www.medellin.gov.co/simm/,834813.649,1179175.7145,-75.569991,6.214372
-75.590205999754,6.23940500062582,58,Tv 39B Cl 70,Glorieta Bulerías,https://www.medellin.gov.co/simm/camaras-cctv/imagen69.jpg,https://www.medellin.gov.co/simm/,832576.0641,1181944.7719,-75.590206,6.239405
-75.5623650002151,6.25482000127563,59,Cr 47 Cl 58,Villa Nueva,https://www.medellin.gov.co/simm/camaras-cctv/imagen70.jpg,https://www.medellin.gov.co/simm/,835657.7945,1183649.8157,-75.562365,6.25482
-75.5829789999644,6.18881599937124,60,Cr 49 Cl 17 Sur,Tugó,https://www.medellin.gov.co/simm/camaras-cctv/imagen71.jpg,https://www.medellin.gov.co/simm/,833375.8342,1176348.9022,-75.582979,6.188816
-75.5803249999312,6.19069299942524,61,Cr 48 Cl 16 Sur,Ford Las Vegas,https://www.medellin.gov.co/simm/camaras-cctv/imagen72.jpg,https://www.medellin.gov.co/simm/,833669.6413,1176556.5148,-75.580325,6.190693
-75.5727399998954,6.19438000025629,62,Cr 38 Cl 9 Sur,Cent C. Santa Fe,https://www.medellin.gov.co/simm/camaras-cctv/imagen73.jpg,https://www.medellin.gov.co/simm/,834509.3132,1176964.3291,-75.57274,6.19438
-75.5751300003505,6.22547799927952,63,Cr 48 Cl 20,Clinica Clofan,https://www.medellin.gov.co/simm/camaras-cctv/imagen74.jpg,https://www.medellin.gov.co/simm/,834244.8065,1180404.1985,-75.57513,6.225478
-75.5750909996837,6.25358399939911,65,Cr 57 Cl 50,Sena,https://www.medellin.gov.co/simm/camaras-cctv/imagen76.jpg,https://www.medellin.gov.co/simm/,834249.1838,1183513.1072,-75.575091,6.253584
